id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,sourceObjects_Plan.organizationSubTypes,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_GlobalCluster.code,destinationObjects_Location.code,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.code,destinationObjects_UsageYear.code,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Emergency.code,destinationObjects_Plan.organizationSubTypes,destinationObjects_Project.organizationSubTypes
10,210000,2001,,financial,2001-02-12T00:00:00Z,2001-01-17T00:00:00Z,2001-01-17T00:00:00Z,Rehabilitation and support to the Hamhung City Provincial Maternity Hospital,,,2001-01-18T00:00:00Z,Standard,Humanitarian aid,TRUE,2e+06,SEK,Traditional aid,,commitment,2001-09-03T00:00:00Z,1,incoming,single,2000-004907,216,Sweden,single,,,2921,"Sweden, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,7,Health,single,,,118,"Korea, Democratic People's Republic of",single,,,4390,Children's Aid Direct,single,NGO,International,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
100,130738,2001,,in kind,2001-03-13T00:00:00Z,2001-02-28T00:00:00Z,2001-02-28T00:00:00Z,"Emergency assistance for vulnerable groups, EMOP No. 5959.02",,,2001-02-28T00:00:00Z,Standard,Humanitarian aid|Food,TRUE,,,Traditional aid,,paid,2001-06-20T00:00:00Z,1,incoming,single,,167,Norway,single,,,2930,"Norway, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,6,Food Security,single,,,118,"Korea, Democratic People's Republic of",single,,,3049,World Food Programme,single,UN agency,,22,2001,single,,,NA,NA,NA,36,DPR of Korea 2001,single,,NA,4,Emergency Assistance for Vulnerable Groups. Emergency Operation (EMOP) DPR KOREA No. 5959.02,single,,DPRK-01-1/N01,NA,,,,,,,,
1002,418840,2001,,financial,2001-04-05T00:00:00Z,2001-01-15T00:00:00Z,2001-01-15T00:00:00Z,Protection of children affected by armed conflict,,,2001-01-19T00:00:00Z,Standard,Humanitarian aid,TRUE,4e+06,SEK,Traditional aid,,paid,2001-04-05T00:00:00Z,1,incoming,single,2000-4983,216,Sweden,single,,,2921,"Sweden, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,10,Protection,single,,,52,"Congo, The Democratic Republic of the",single,,,2915,United Nations Children's Fund,single,UN agency,,22,2001,single,,,NA,NA,NA,40,Democratic Republic of the Congo 2001,single,,NA,200,Protection of children affected by armed conflict,single,,DRC-01-1/N15,NA,,,,,,,,
101,122850,2001,,financial,2001-03-14T00:00:00Z,2001-03-09T00:00:00Z,2001-03-09T00:00:00Z,"Cash in support of people affected by the conflict in GUINEA (Part of DKK 2,000,000)",,,2001-03-12T00:00:00Z,Standard,Humanitarian aid,TRUE,1e+06,DKK,Traditional aid,,commitment,2001-10-10T00:00:00Z,1,incoming,single,46.H.1-7-109,61,Denmark,single,,,3776,"Denmark, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,26479,Multi-sector,single,,,,,,,,2967,International Committee of the Red Cross,single,Red Cross/Red Crescent,International Society,22,2001,single,,,,,,,,,,,,,,,,,9,West Africa 2001-2002,single,,,,,
1017,314130,2001,,financial,2001-04-05T00:00:00Z,2001-01-15T00:00:00Z,2001-01-15T00:00:00Z,Rapid educational initiative for internally displaced children in DRC,,,2001-01-19T00:00:00Z,Standard,Humanitarian aid,TRUE,3e+06,SEK,Traditional aid,,paid,2001-04-05T00:00:00Z,1,incoming,single,2000-4983,216,Sweden,single,,,2921,"Sweden, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,3,Education,single,,,52,"Congo, The Democratic Republic of the",single,,,2915,United Nations Children's Fund,single,UN agency,,22,2001,single,,,NA,NA,NA,40,Democratic Republic of the Congo 2001,single,,NA,206,Rapid educational initiative for internally displaced children in DRC,single,,DRC-01-1/N21,NA,,,,,,,,
102,93897,2001,,financial,2001-03-14T00:00:00Z,2001-02-22T00:00:00Z,2001-02-22T00:00:00Z,Cash to meet basic medical and shelter needs of refugees and IDPs (GUINEA),,,2001-03-14T00:00:00Z,Standard,Humanitarian aid,TRUE,2e+05,DEM,Traditional aid,,commitment,2001-10-10T00:00:00Z,1,incoming,single,GIN 4/01,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,26479,Multi-sector,single,,,,,,,,2992,German Red Cross,single,Red Cross/Red Crescent,International Society,22,2001,single,,,,,,,,,,,,,,,,,9,West Africa 2001-2002,single,,,,,
103,9851,2001,,financial,2001-03-14T00:00:00Z,2001-02-16T00:00:00Z,2001-02-16T00:00:00Z,Cash for procurement of 700 blankets through German Embassy in Sofia.,,1.08994,2001-03-14T00:00:00Z,Standard,Humanitarian aid,TRUE,10737,DEM,Traditional aid,,commitment,2011-01-31T14:21:00Z,1,incoming,single,BGR 01/01,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,26479,Multi-sector,single,,,35,Bulgaria,single,,,,,,,,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10301,1404582,2002,,financial,2002-08-26T00:00:00Z,2002-08-13T00:00:00Z,2002-08-13T00:00:00Z,"To promote sustainable care for victims of war-related gender-based violence in the countries of the former Yugoslavia.  This includes both the violence that took place during the wars, war rape and other forms of sexual violence as instruments of war and ethnic cleansing and the violence in the post-war situation, domestic and sexual violence",,,2002-08-26T00:00:00Z,Standard,Humanitarian aid,TRUE,1427055,EUR,Traditional aid,,commitment,2002-08-26T00:00:00Z,1,incoming,single,QE003604,157,Netherlands,single,,,3008,"Netherlands, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,,,7,Health,single,,,,,,,,4047,Admira Consulting,single,Private organization/foundation,International organization/foundation/individual,22,2001,single,,,,,,,,,,,,,,,,,10,Southeastern Europe 2000 - 2002,single,,,,,
10337,13322,,,financial,2002-08-28T00:00:00Z,2001-05-22T00:00:00Z,2001-05-22T00:00:00Z,"ATS 200,000 for reconstruction",,,2002-08-28T00:00:00Z,Standard,,TRUE,,,Traditional aid,,paid,2002-08-28T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,4,Emergency Shelter and NFI,single,,,67,El Salvador,single,,,3204,HORIZONT3000,single,NGO,International,22,2001,single,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,
10338,3871,2001,,financial,2002-08-28T00:00:00Z,2001-10-23T00:00:00Z,2001-10-23T00:00:00Z,Medical treatment for children,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,58014,EUR,Traditional aid,,commitment,2002-08-28T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,7,Health,single,,,,,,,,3775,Friedensdorf International,single,NGO,International,22,2001,single,,,,,,,,,,,,,,,,,10,Southeastern Europe 2000 - 2002,single,,,,,
